recipe_title,category,subcategory,description,ingredients,directions,num_ingredients,num_steps
Air Fryer Peanut Chicken,Air Fryer Recipes,Air Fryer Recipes,"In this air fryer peanut chicken recipe, boneless, skinless chicken thighs are marinated in a spicy-sweet peanut marinade. Rice or noodles work with this dish, or cut it into bite-sized pieces and serve over a salad.","[""2 tablespoons Thai sweet chili sauce"", ""1 tablespoon soy sauce"", ""1 tablespoon Sriracha"", ""1 lime, zested and juiced"", ""1 teaspoon granulated garlic"", ""1 tablespoon fresh ginger"", ""1/3 cup creamy peanut butter"", ""salt to taste"", ""6 skinless, boneless chicken thighs"", ""cooking spray"", ""2 cups cooked rice, or as needed"", ""chopped cilantro"", ""dry-roasted peanuts""]","[""Combine chili sauce, soy sauce, Sriracha, lime zest, lime juice, granulated garlic, minced ginger, peanut butter, and salt to taste in a large resealable plastic bag. Gently move and mash the ingredients inside the bag until well blended."", ""Add chicken to the bag, and squeeze out as much air as possible. Move chicken around inside the bag until each piece is coated in marinade. Marinate in the refrigerator for at least 30 minutes and up to 24 hours."", ""Preheat an air fryer to 350 degrees F (180 degrees C), or according to manufacturer's recommendations."", ""Spray the cooking surface of the air fryer with cooking spray."", ""Take chicken pieces from the bag, and allow the marinade to drip back into the bag. Place chicken pieces in the air fryer in a single layer and air fry for 20 to 22 minutes, turning halfway through, until an instant-read thermometer inserted near the center reads 165 degrees F (74 degrees C)."", ""Meanwhile, add about 1/2 cup of water to the unused marinade, and mix contents; pour into a microwave-safe container. Microwave on High, until marinade comes to a boil, and cook about 1 minute longer; watch carefully to see it does not boil over."", ""Serve chicken over rice, with sauce on the side as a dip. Garnish with chopped cilantro, sliced scallions, julienne cucumbers and carrots, and chopped peanuts, as desired.""]",13,7
Loaded Cheeseburger Waffle Fry Bake,Beef Recipes,Beef Recipes,"Waffle fries, ground beef, bacon, cheese combine in this easy bake reminiscent of a Cheeseburger.","[""8 bacon (1/2 package)"", ""1 (20-ounce) bag frozen waffle fries"", ""1 tablespoon olive oil"", ""1 small yellow onion"", ""2 clove garlic, minced"", ""1 pound ground beef"", ""salt and freshly ground black pepper, to taste"", ""1 cup shredded Cheddar cheese"", ""1 cup shredded mozzarella cheese"", ""1/4 cup ketchup, plus more for serving"", ""2 tablespoons yellow mustard"", ""2 tablespoons mayonnaise,""]","[""Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels. Once cool enough to handle, roughly chop."", ""Meanwhile, preheat an air fryer oven to 400 degrees F (200 degrees C)."", ""Air fry the waffle fries until golden and crispy, shaking halfway through, for 8 to 10 minutes or bake as directed on the package. Be sure to flip the half way through baking."", ""Preheat the oven to 375 degrees F (190 degrees C)."", ""Heat olive oil in a large skillet over medium heat. Add onions and cook until softened, 2 to 3 minutes. Add minced garlic and cook until fragrant, about 30 seconds. Add ground beef and season with salt and pepper. Cook and stir ground beef in the hot skillet until browned and crumbly, breaking up any clumps as it cooks, 5 to 7 minutes. Drain and discard grease. Stir in ketchup, mustard, and mayonnaise to completely coat the beef mixture. Simmer for 1 to 2 minutes."", ""Preheat the oven to 375 degrees C (190 degrees C)."", ""Spread cooked beef mixture evenly into a 9x13-inch baking dish. Sprinkle Cheddar cheese on top and arrange crispy waffle fries in an even layer over the cheese. Sprinkle mozzarella over waffle fries, followed by chopped bacon."", ""Bake casserole in the preheated oven just until cheese is melted and casserole is heated through, about 5 minutes."", ""Top with chopped pickles and diced tomatoes, and additional ketchup and mustard for an extra special cheeseburger flavor. Serve immediately while the waffle fries are still crispy!""]",12,9
Lyonnaise Potatoes,Healthy Recipes,Low-Sodium Recipes,These Lyonnaise potatoes are a classic dish made with sliced potatoes and onions.,"[""2 pounds russet potatoes"", ""2 tablespoons olive oil"", ""4 onions, thinly sliced"", ""2 tablespoons chopped garlic"", ""\u00bd cup butter"", ""salt to taste"", ""ground white pepper, to taste"", ""1 tablespoon finely minced fresh parsley""]","[""Preheat the oven to 400 degrees F (200 degrees C)."", ""Peel potatoes and cut them into 1/2-inch slices. Place in a pot and cover with water; bring to a boil. Boil for 2 minutes, then drain and set aside."", ""Heat a large oven-proof skillet over medium-high heat. Pour in olive oil, then add onions. Saut\u00e9 until lightly caramelized, 8 to 10 minutes. Stir in garlic and saut\u00e9 until onions are deep brown and garlic is soft. Transfer mixture to a bowl."", ""Place the skillet back on the stove over low heat. Melt butter in the skillet, then cover the bottom with 1/3 of the potatoes. Season with salt and pepper. Cover potatoes with 1/2 of the onion mixture. Cover with 1/2 of the remaining potatoes; season with salt and pepper. Spread remaining onion mixture on top. Cover with remaining potatoes; season with salt and pepper."", ""Bake in the preheated oven until potatoes are tender and browned on top, 10 to 12 minutes."", ""Use a spatula to transfer potatoes to a serving platter. Sprinkle with chopped parsley just before serving.""]",8,6
Maria's Portuguese Bacalau,Casseroles,Seafood Casserole,"This is a traditional Portuguese dish that brings back memories of mom. It is not only tasty but it is always a hit at parties. Plan ahead, because the salted cod (aka bacalhau or bacalao) needs to soak for 24 hours.","[""2 pounds dried salted cod"", ""\u00be cup olive oil"", ""\u00bd cup chopped fresh parsley, divided"", ""2 cloves garlic, chopped, divided"", ""1 \u00bd teaspoons red pepper flakes"", ""freshly ground black pepper to taste"", ""4 Yukon Gold potatoes"", ""3 tablespoons unsalted butter"", ""2 yellow onions, thinly sliced"", ""10 pitted green olives"", ""10 pitted black olives"", ""4 hard-cooked eggs, chopped""]","[""Soak dried salted cod in cold water for 24 hours, changing the water several times."", ""Bring a large pot of water to a boil. Add soaked cod; boil until flakes easily with a fork, about 5 minutes. Transfer cod to a cutting board; save water for cooking potatoes. Remove cod skin and bones then flake the meat into pieces using a fork; set aside in a large bowl."", ""Whisk olive oil, 1 tablespoon parsley, 1 clove garlic, pepper flakes, and black pepper together in a small bowl; pour over cod and lightly toss to coat."", ""Preheat the oven to 350 degrees F (175 degrees C). Grease an 8x11-inch baking dish."", ""Place potatoes in reserved pot salt cod cooking water; bring to a boil. Cook until tender, about 20 minutes. Drain under cool water, peel, and cut into 1/4-inch slices."", ""While potatoes cook, melt butter in a large skillet over medium heat. Add onions; saut\u00e9 until golden and caramelized. Stir in remaining 1 clove garlic; set aside."", ""Layer 1/2 of the potatoes in the bottom of the prepared baking dish; cover with 1/2 of the cod, then 1/2 of the onions. Repeat layers, ending with onions."", ""Bake in the preheated oven until lightly browned, about 15 minutes. Garnish with olives and hard-cooked eggs; sprinkle with remaining 7 tablespoons parsley.""]",12,8
Peppers Stuffed with Grilled Chicken and Rice,Main Dishes,Stuffed Bell Peppers,Randomly threw a few things together one night with some chicken and the stuffed bell peppers turned out to be one of my husband's favorite meals! I'm quite proud of it!,"[""4 medium green bell peppers, tops removed, seeded"", ""1 \u00bc cups water, divided"", ""3 tablespoons taco seasoning, divided"", ""2 (5 ounce) skinless, boneless chicken breast halves"", ""\u00bd cup brown rice, rinsed well"", ""1 medium red bell pepper, cut into thick slices"", ""1 tablespoon olive oil"", ""\u00bc cup chopped onion"", ""2 teaspoons minced garlic"", ""1 (10 ounce) can diced tomatoes and green chiles (such as RO*TEL\u00ae)"", ""1 cup shredded Mexican-blend cheese, divided"", ""\u00bd teaspoon garlic salt, or to taste""]","[""Preheat the oven to 375 degrees F (190 degrees C). Place green peppers in a baking dish with 1/8 cup water in the bottom."", ""Bake in the preheated oven until peppers are slightly browned around the edges, 20 to 25 minutes."", ""While the peppers are baking, whisk 1/4 cup water and 2 tablespoons taco seasoning together in a small bowl. Add chicken and toss to coat. Cover the bowl with plastic wrap and marinate in the refrigerator for at least 15 minutes."", ""Combine remaining 1 cup water and rice in a pot over high heat; bring to a boil. Cover, reduce heat to low, and cook for 15 minutes. Remove from the heat. Stir in remaining taco seasoning and let sit, covered, until tender, about 15 minutes more. Remove the lid, drain any remaining liquid, and set aside."", ""Preheat an outdoor grill for medium heat and lightly oil the grate."", ""Remove chicken from the refrigerator and place on the preheated grill with the pepper slices. Cook chicken until no longer pink in the center and the juices run clear, about 5 to 7 minutes per side. An instant-read thermometer inserted into the center of the chicken should read at least 165 degrees F (74 degrees C). Grill peppers until tender, about 2 to 3 minutes per side."", ""Remove chicken and peppers from the grill and allow to cool. Shred chicken and dice peppers."", ""Heat oil in a large skillet over medium heat. Add onions and garlic; saute until soft, 5 to 7 minutes. Add cooked rice, shredded chicken, diced peppers, diced tomatoes and green chiles, 1/2 of the cheese, and garlic salt; stir until well blended. Cook over medium heat, stirring occasionally, until hot, about 5 minutes."", ""Spoon rice mixture into the green peppers. Top with remaining cheese."", ""Return to the oven until cheese is melted, about 5 minutes.""]",12,10
Scotch Eggs,Breakfast And Brunch,Breakfast And Brunch,"Scotch eggs are soft-boiled eggs wrapped in sausage and bread crumbs, deep-fried for a delicious savory treat. They're a British pub favorite, perfect for family occasions or picnics. We like to make these on Christmas Eve served on a bed of lettuce with sliced tomatoes and mustard for garnish.","[""1 quart oil for frying"", ""4 large eggs"", ""2 pounds bulk pork sausage"", ""1 cup all-purpose flour"", ""4 large eggs, beaten"", ""4 cups dried bread crumbs, seasoned""]","[""Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Heat oil in a deep-fryer to 375 degrees F (190 degrees C)."", ""Place eggs in a saucepan and cover with water. Bring to boil. Cover, remove from heat, and let eggs sit in hot water for 10 to 12 minutes. Remove from hot water, cool, and peel."", ""Flatten sausage and make a patty to surround each egg."", ""Very lightly flour the outer sausage layer then coat with beaten egg. Roll in bread crumbs to cover evenly."", ""Deep-fry prepared eggs in hot oil until golden brown while making sure each side is well cooked."", ""Bake in the preheated oven for 10 minutes."", ""Cut in half and serve."", ""Enjoy!""]",6,8
Shepherd's Pie,Beef Recipes,Beef Pie,"Make this shepherd's pie with ground beef or lamb, carrots, and onions in a rich gravy. Top with a layer of cheesy mashed potato to satisfy even the pickiest of eaters. It's a great way to sneak some extra veggies into dinner!","[""4 large potatoes, peeled and cubed"", ""1 tablespoon butter"", ""1 tablespoon finely chopped onion"", ""\u00bc cup shredded Cheddar cheese"", ""salt and pepper to taste"", ""5 carrots, chopped"", ""1 tablespoon vegetable oil"", ""1 onion, chopped"", ""1 pound lean ground beef or lamb"", ""2 tablespoons all-purpose flour"", ""1 tablespoon ketchup"", ""\u00be cup beef broth"", ""\u00bc cup shredded Cheddar cheese""]","[""Gather all ingredients."", ""Bring a large pot of salted water to a boil. Add potatoes and cook until tender but still firm, about 15 minutes. Drain and mash. Mix in butter, finely chopped onion and 1/4 cup shredded cheese. Season with salt and pepper to taste; set aside."", ""Bring a large pot of salted water to a boil. Add carrots and cook until tender but still firm, about 15 minutes. Drain, mash and set aside. Preheat oven to 375 degrees F (190 degrees C.)"", ""Heat oil in a large frying pan. Add onion and cook until clear. Add ground beef and cook until well browned. Pour off excess fat, then stir in flour and cook 1 minute. Add ketchup and beef broth. Bring to a boil, reduce heat and simmer for 5 minutes."", ""Spread the ground beef in an even layer on the bottom of a 2 quart casserole dish. Next, spread a layer of mashed carrots. Top with the mashed potato mixture and sprinkle with remaining shredded cheese."", ""Bake in the preheated oven for 20 minutes, or until golden brown. Serve hot and enjoy!""]",13,6
Shrimp Tostadas,Mexican,Authentic Mexican Recipes,"Salad, side, main dish, and bread all in a little stack? Yes, please! Make that two! The slaw, refried black beans, and shrimp stack up on crispy tostada shells for a fun and tasty dinner. If your family likes milder heat, use only one chipotle pepper, and omit the cayenne.","[""1/2 cup mayonnaise"", ""2 chipotle peppers in adobo sauce, minced"", ""1/3 cup lime juice"", ""1 tablespoon honey"", ""1 tablespoon avocado oil"", ""1 teaspoon ground cumin"", ""1/4 teaspoon salt, or to taste"", ""1 (8 ounce) package shredded cabbage""]","[""Combine mayonnaise, minced chipotle peppers, lime juice, honey, avocado oil, 1 teaspoon cumin, and salt to taste for the slaw in a large bowl. Stir until well blended. Add shredded cabbage and toss to coat. Refrigerate until ready to use."", ""Combine water, sofrito base, and cayenne pepper in a large skillet for the slaw. Bring to a boil over medium heat. Add shrimp to the boiling liquid, bring back to a boil, and cook until shrimp turn white and peachy-pink, and make a \""C\"" shape, 3 to 5 minutes. Using a slotted spoon or spider, remove shrimp from the cooking liquid immediately."", ""Set an oven rack about 6 inches from the heat source and preheat the broiler. Line a baking tray with aluminum foil."", ""Stir refried beans, smoked paprika, 1/2 teaspoon cumin, and garlic granules together in a bowl for the tostadas. Spread each tostada shell with bean mixture, 1 to 2 tablespoons per tostada, or to taste. Sprinkle queso fresco crumbles evenly on each tostada. Place tostadas on the prepared baking tray in a single layer."", ""Broil under the preheated broiler until cheese begins to melt, 1 to 2 minutes. Watch that tostada shells do not burn."", ""Place about 1/2 cup of the prepared slaw on each tostada. Top with chopped cilantro to taste. Add three shrimp per tostada, and drizzle crema over all. Serve with lime slices, if desired.""]",8,6
Southeast Asian Style Chicken Rice,Cooking For Two,Cooking For Two,"I've mixed elements of Vietnamese, Thai, Indonesian and other Asian cuisines to make a delicious chicken and rice dish topped with a fresh herb salad.","[""1 large chicken breast, skin on"", ""1 teaspoon kosher salt, plus more as needed"", ""1 tablespoon vegetable oil"", ""1 tablespoon minced ginger"", ""2 cloves garlic, minced"", ""\u2153 cup diced onions"", ""\u00bd teaspoon turmeric"", ""1 cup plus 1 tablespoon jasmine rice"", ""1 \u00bd cups chicken broth""]","[""Set chicken breast onto a cutting board and make 5 or 6 shallow cuts through the skin. Season generously on both sides with salt."", ""Heat vegetable oil in a skillet over medium high heat and sear chicken breast, skin-side down, until the skin is golden brown and fat has rendered out, about 5 minutes. Flip breast over, and keep cooking until chicken is cooked through, about 5 minutes more. If oil starts to smoke before the chicken is cooked, reduce heat to medium or medium-low."", ""Turn off the heat and transfer chicken to a plate to rest until cool enough to handle. Peel off the skin and finely chop. Refrigerate chicken breast."", ""Add minced chicken skin back into the skillet over and medium heat. Cook and stir until the skin browns and starts getting crisp, 3 to 5 minutes. Add ginger, garlic, and onions and cook, stirring, until onions start to turn translucent, about 5 minutes. Add turmeric and rice; cook and stir until rice is well coated with oil, 2 to 3 minutes."", ""Stir in broth, turn heat to high, and bring to a boil. Cover, reduce heat to low, and simmer undisturbed for 20 minutes. Turn off the heat and set a timer for 10 minutes to allow rice to rest."", ""Meanwhile, shred the chicken meat using your hands or cut into small pieces. Place into a bowl. Add red onion, green onions, Fresno chili, lime juice, soy sauce, hot sauce, sesame oil, salt, pepper, fresh mint and cilantro. Toss until well combined. Taste and adjust with more lime juice, salt, and/or spice as needed."", ""After the 10 minute rice timer is up, remove cover, and fluff rice with a fork. Taste and adjust seasoning if necessary. Serve rice topped with the chicken herb salad mixture and lime wedges.""]",9,7
Black Bean Lasagna II,Lasagna,Vegetarian Lasagna,Lasagna with a Southwest twist. This can be frozen unbaked and kept for up to a month. Simply thaw in refrigerator overnight and bake as directed. Tastes even better reheated the second day!,"[""9 lasagna noodles"", ""\u00bd cup chopped onion"", ""\u00bd cup chopped red bell pepper"", ""\u00bd cup frozen corn kernels, thawed"", ""2 cloves garlic, chopped"", ""1 (15 ounce) can black beans, rinsed and drained"", ""1 (16 ounce) can refried black beans"", ""2 \u00be cups canned tomato sauce"", ""\u00bd cup salsa"", ""\u00bd cup chopped fresh cilantro, divided"", ""1 \u00bd cups cottage cheese"", ""1 cup ricotta cheese"", ""\u00bc cup sour cream"", ""8 ounces Monterey Jack cheese, shredded"", ""\u00bc cup sliced ripe olives"", ""8 sprigs fresh cilantro""]","[""Preheat oven to 350 degrees F (175 degrees C). Bring a large pot of lightly salted water to a boil. Add pasta and cook for 8 to 10 minutes or until al dente; drain."", ""Coat a large skillet with non-stick cooking spray, and place over medium heat. Saute onion, red bell pepper, corn and garlic until tender. Stir in black beans, refried beans, tomato sauce, salsa and 1/4 cup cilantro. Cook until heated through and slightly thickened; set aside."", ""In a large bowl, combine cottage cheese, ricotta, sour cream, shredded Monterey Jack cheese and remaining 1/4 cup chopped cilantro; set aside."", ""Coat a 9x13 inch casserole dish with non-stick cooking spray. Arrange 3 of the cooked lasagna noodles in the bottom of the dish, cutting to fit if necessary. Spread with 1/3 of the bean mixture, then 1/3 of the cheese mixture. Repeat layers twice more."", ""Cover, and bake in preheated oven for 45 minutes. Garnish with sliced black olives and sprigs of cilantro.""]",16,5
